Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C16, C17, C2, C3, C4, C6, C8",0603,10,100nF,C14663
"C10, C9",1206,2,22uF,C7432785
C11,C_Elec_6.3x7.7,1,100uF,C2836442
C12,0603,1,470pF,C107092
C13,C_Elec_6.3x7.7,1,470uF,C5354997
"C5, C7",0603,2,10pF,C1634
D1,MHS110FRGBCT,1,~,C496820
D4,0603,1,GREEN,C965804
D5,D_SOD-123,1,1N5819,C82544
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_ARM_JTAG_SWD_10,C6332249
J2,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,PEEL_MOTOR,C2845379
J3,Molex_PicoBlade_53261-0671_1x06-1MP_P1.25mm_Horizontal,1,Conn_01x06_Socket,C2845383
L1,SMNR6045,1,220uH,C467145
"MOUSE-BITE-2MM-SLOT_10, MOUSE-BITE-2MM-SLOT_9, MOUSE-BITE-2MM-SLOT_8, MOUSE-BITE-2MM-SLOT_7, MOUSE-BITE-2MM-SLOT_6, MOUSE-BITE-2MM-SLOT_5, MOUSE-BITE-2MM-SLOT_4, MOUSE-BITE-2MM-SLOT_3, MOUSE-BITE-2MM-SLOT_2, MOUSE-BITE-2MM-SLOT",mouse-bite-2mm-slot,10,VAL**,
R10,0805,1,.33,C2934265
R11,0603,1,5.6K,C114627
R12,0603,1,39K,C163424
"R13, R2, R3, R4, R5",0603,5,10K,C25804
"R6, R7, R8, R9",0603,4,1K,C21190
"SW1, SW2, SW3, SW4",1TS003B-1400-3500A-CT,4,~,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX3078E,C2885450
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F031C6T6,C97413
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MC34063AD,C80213
"U5, U6",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,2,DRV8837,C191000
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8Mhz,C648984
