Designator,Mid X,Mid Y,Rotation,Layer
C1,54.09,23.04,270.0,top
C10,45.25,16.57,270.0,top
C11,22.62,14.34,270.0,top
C12,27.75,16.21,0.0,top
C13,22.62,23.36,90.0,top
C14,43.69,59.26,90.0,top
C15,40.215,57.474516,0.0,top
C16,46.97,57.02,180.0,top
C17,37.95,54.0175,90.0,top
C2,20.55,56.5,180.0,top
C3,32.9,56.13,0.0,top
C4,22.15,47.09,180.0,top
C5,31.62,60.9125,270.0,top
C6,34.2,54.5,0.0,top
C7,25.965,61.475,90.0,top
C8,34.21,63.57,0.0,top
C9,42.18,16.42,270.0,top
D1,27.28,92.3925,0.0,top
D4,16.9725,50.69,0.0,top
D5,37.92,23.37,270.0,top
FID1,7.0,93.01,0.0,top
FID2,57.0,94.01,0.0,top
FID3,58.0,6.01,0.0,top
FID4,4.0,5.01,0.0,top
J1,40.55,65.41,0.0,top
J2,40.245,48.52,0.0,top
J3,53.96,58.7,90.0,top
L1,32.4,25.0,180.0,top
MOUSE-BITE-2MM-SLOT_10,48.25,83.365,0.0,top
MOUSE-BITE-2MM-SLOT_9,6.29,77.745,90.0,top
MOUSE-BITE-2MM-SLOT_8,13.3,6.335,0.0,top
MOUSE-BITE-2MM-SLOT_7,28.77,97.335,0.0,top
MOUSE-BITE-2MM-SLOT_6,36.42,6.355,0.0,top
MOUSE-BITE-2MM-SLOT_5,58.29,66.745,90.0,top
MOUSE-BITE-2MM-SLOT_4,57.27,35.755,90.0,top
MOUSE-BITE-2MM-SLOT_3,55.01,10.525,234.0,top
MOUSE-BITE-2MM-SLOT_2,6.29,56.955,90.0,top
MOUSE-BITE-2MM-SLOT,6.29,21.205,90.0,top
PG1,54.5789,15.6252,234.0,top
PG2,49.9111,9.1248,234.0,top
R10,37.99,17.13,270.0,top
R11,34.55,20.57,0.0,top
R12,40.07,16.34,90.0,top
R13,44.12,55.96,270.0,top
R2,52.2,17.32,324.0,top
R3,53.69,19.374922,324.0,top
R4,34.41,61.56,0.0,top
R5,31.665,66.04,180.0,top
R6,24.756,89.841,270.0,top
R7,26.32,89.841,270.0,top
R8,27.884,89.841,270.0,top
R9,17.01,48.93,0.0,top
SW1,12.65,85.995,45.0,top
SW2,18.02,91.355,45.0,top
SW3,34.07,92.545,270.0,top
SW4,34.075,86.945,270.0,top
U1,50.41,26.16,180.0,top
U2,27.09,51.76,180.0,top
U3,43.84,24.08,90.0,top
U4,33.02,16.845,270.0,top
U5,47.04,59.28,180.0,top
U6,40.1975,54.1925,90.0,top
Y1,28.885,61.23,270.0,top
